,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.0000004,0.46784985,0.71612597,0.4981393,0.5908032,0.74266815,0.5931448,0.1428428,0.3204478,0.5602103,0.6709711,0.14366071,0.5425981,0.6914738,0.62626535
1,0.46784985,0.99999976,0.43704388,0.3531097,0.39921483,0.4417864,0.36464122,0.13387696,0.25247964,0.3701635,0.27415222,0.19752498,0.4476384,0.3096627,0.44484884
2,0.71612597,0.43704388,0.99999964,0.6358709,0.55534273,0.66994524,0.68513113,0.13103168,0.36229408,0.5179939,0.6522936,0.22192802,0.33417058,0.6578323,0.50154096
3,0.4981393,0.3531097,0.6358709,1.0000007,0.4893264,0.48822522,0.61805457,0.15763001,0.25630966,0.41328216,0.5240847,0.20487192,0.34161592,0.35632712,0.3766627
4,0.5908032,0.39921483,0.55534273,0.4893264,0.9999996,0.6277625,0.48315468,0.09342285,0.30491382,0.47770417,0.527281,0.16159108,0.37385207,0.52062374,0.49981865
5,0.74266815,0.4417864,0.66994524,0.48822522,0.6277625,1.0000002,0.6818154,0.16462034,0.3828257,0.54765475,0.61625797,0.110074066,0.43679944,0.7001394,0.58374876
6,0.5931448,0.36464122,0.68513113,0.61805457,0.48315468,0.6818154,0.99999964,0.16637708,0.40353042,0.40381685,0.6814241,0.19190069,0.4824563,0.5908081,0.43412146
7,0.1428428,0.13387696,0.13103168,0.15763001,0.09342285,0.16462034,0.16637708,0.9999998,0.11700042,0.13364954,0.080696285,0.094303295,0.13640752,0.08697157,0.093628086
8,0.3204478,0.25247964,0.36229408,0.25630966,0.30491382,0.3828257,0.40353042,0.11700042,0.9999996,0.24965368,0.39042267,0.14384302,0.19816652,0.28315893,0.25240868
9,0.5602103,0.3701635,0.5179939,0.41328216,0.47770417,0.54765475,0.40381685,0.13364954,0.24965368,0.9999998,0.35471362,0.10582673,0.25987026,0.4023619,0.41884536
10,0.6709711,0.27415222,0.6522936,0.5240847,0.527281,0.61625797,0.6814241,0.080696285,0.39042267,0.35471362,0.99999976,0.20656727,0.4200131,0.67123574,0.4975098
11,0.14366071,0.19752498,0.22192802,0.20487192,0.16159108,0.110074066,0.19190069,0.094303295,0.14384302,0.10582673,0.20656727,1.0000007,0.0626955,0.123196736,0.17794742
12,0.5425981,0.4476384,0.33417058,0.34161592,0.37385207,0.43679944,0.4824563,0.13640752,0.19816652,0.25987026,0.4200131,0.0626955,0.99999976,0.38830772,0.39100942
13,0.6914738,0.3096627,0.6578323,0.35632712,0.52062374,0.7001394,0.5908081,0.08697157,0.28315893,0.4023619,0.67123574,0.123196736,0.38830772,0.9999998,0.5037044
14,0.62626535,0.44484884,0.50154096,0.3766627,0.49981865,0.58374876,0.43412146,0.093628086,0.25240868,0.41884536,0.4975098,0.17794742,0.39100942,0.5037044,0.9999999
