,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1.0000006,0.593255,0.5747507,0.5956431,0.58846015,0.46023363,0.38917857,0.40817523,0.25220287,0.47484076,0.5043596,0.28738037,0.5456376,0.43450978
1,0.593255,0.9999997,0.70937777,0.6614353,0.7322854,0.38311315,0.606815,0.35570672,0.38047758,0.27569288,0.52676386,0.23476517,0.729723,0.42011547
2,0.5747507,0.70937777,0.9999997,0.54108083,0.53703266,0.35151753,0.5214801,0.48452276,0.26711532,0.3228335,0.3985851,0.27629197,0.5862402,0.31649935
3,0.5956431,0.6614353,0.54108083,1.0000001,0.7445824,0.3675113,0.5171134,0.43470538,0.18737629,0.29903194,0.60679,0.25230125,0.60352194,0.6092363
4,0.58846015,0.7322854,0.53703266,0.7445824,1.0000002,0.41670486,0.540155,0.47927886,0.22629972,0.27665085,0.56969637,0.18880974,0.68143666,0.5400962
5,0.46023363,0.38311315,0.35151753,0.3675113,0.41670486,0.9999997,0.38329655,0.27451584,0.20470285,0.29907724,0.3951789,0.18680704,0.45400274,0.27849603
6,0.38917857,0.606815,0.5214801,0.5171134,0.540155,0.38329655,1.0000004,0.26422533,0.2224695,0.24719702,0.43533912,0.21417877,0.515273,0.34491506
7,0.40817523,0.35570672,0.48452276,0.43470538,0.47927886,0.27451584,0.26422533,1,0.16535074,0.21245426,0.34160239,0.17541112,0.30367994,0.4596235
8,0.25220287,0.38047758,0.26711532,0.18737629,0.22629972,0.20470285,0.2224695,0.16535074,1.0000005,0.14899872,0.1527381,0.06430538,0.2480119,0.16702557
9,0.47484076,0.27569288,0.3228335,0.29903194,0.27665085,0.29907724,0.24719702,0.21245426,0.14899872,1.0000002,0.25831816,0.26497775,0.31905627,0.23740113
10,0.5043596,0.52676386,0.3985851,0.60679,0.56969637,0.3951789,0.43533912,0.34160239,0.1527381,0.25831816,1.0000007,0.25290573,0.5856611,0.35807556
11,0.28738037,0.23476517,0.27629197,0.25230125,0.18880974,0.18680704,0.21417877,0.17541112,0.06430538,0.26497775,0.25290573,1.0000001,0.25805908,0.17474963
12,0.5456376,0.729723,0.5862402,0.60352194,0.68143666,0.45400274,0.515273,0.30367994,0.2480119,0.31905627,0.5856611,0.25805908,1.0000004,0.4051985
13,0.43450978,0.42011547,0.31649935,0.6092363,0.5400962,0.27849603,0.34491506,0.4596235,0.16702557,0.23740113,0.35807556,0.17474963,0.4051985,0.9999999
