,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.0000001,0.64906365,0.5531595,0.46496648,0.2580939,0.4350075,0.39347664,0.6367361,0.11678507,0.11786687,0.18778352,0.43571553,0.4641749,0.25314462,0.46785992
1,0.64906365,1.0000011,0.626517,0.5079827,0.4000091,0.45803615,0.34805977,0.59677976,0.14891572,0.19463836,0.18431479,0.47858694,0.27567127,0.24370201,0.45670816
2,0.5531595,0.626517,0.9999997,0.41192475,0.16716495,0.38671765,0.37011325,0.49796262,0.12885645,-0.015540355,0.31403652,0.47360915,0.3988273,0.18396042,0.2789264
3,0.46496648,0.5079827,0.41192475,0.9999995,0.21825163,0.36183822,0.31199628,0.46111244,0.0972022,0.20139788,0.21471423,0.30834225,0.32699838,0.13677932,0.16961643
4,0.2580939,0.4000091,0.16716495,0.21825163,0.9999997,0.15081476,0.2335239,0.34677643,0.10684978,0.28781053,0.08404348,0.08254738,0.090981,0.12215336,0.13023028
5,0.4350075,0.45803615,0.38671765,0.36183822,0.15081476,1.0000001,0.16840348,0.34927106,0.13333681,0.07508186,0.18395789,0.3724278,0.19245411,0.07600837,0.21185575
6,0.39347664,0.34805977,0.37011325,0.31199628,0.2335239,0.16840348,1.0000002,0.37967402,0.06951039,0.09925817,0.07378028,0.23139168,0.30951762,0.24600102,0.12410873
7,0.6367361,0.59677976,0.49796262,0.46111244,0.34677643,0.34927106,0.37967402,0.9999995,0.22175063,0.22609489,0.27112788,0.39991856,0.39916795,0.2376337,0.44941825
8,0.11678507,0.14891572,0.12885645,0.0972022,0.10684978,0.13333681,0.06951039,0.22175063,1.000001,0.037804373,0.24830338,0.1473666,0.09725568,0.2241363,0.22705431
9,0.11786687,0.19463836,-0.015540355,0.20139788,0.28781053,0.07508186,0.09925817,0.22609489,0.037804373,1.0000005,-0.063318945,0.04021433,0.041899204,-0.018049171,0.15373154
10,0.18778352,0.18431479,0.31403652,0.21471423,0.08404348,0.18395789,0.07378028,0.27112788,0.24830338,-0.063318945,0.99999994,0.33323094,0.15874612,0.09682339,0.13777024
11,0.43571553,0.47858694,0.47360915,0.30834225,0.08254738,0.3724278,0.23139168,0.39991856,0.1473666,0.04021433,0.33323094,1.0000001,0.3017862,0.21294308,0.39468375
12,0.4641749,0.27567127,0.3988273,0.32699838,0.090981,0.19245411,0.30951762,0.39916795,0.09725568,0.041899204,0.15874612,0.3017862,0.9999998,0.18349347,0.21606667
13,0.25314462,0.24370201,0.18396042,0.13677932,0.12215336,0.07600837,0.24600102,0.2376337,0.2241363,-0.018049171,0.09682339,0.21294308,0.18349347,1.0000006,0.22140425
14,0.46785992,0.45670816,0.2789264,0.16961643,0.13023028,0.21185575,0.12410873,0.44941825,0.22705431,0.15373154,0.13777024,0.39468375,0.21606667,0.22140425,1.0000002
