,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.9999996,0.61592036,0.32283384,0.35626575,0.19500947,0.089621566,0.32256353,0.18561375,0.19150439,0.2117405,0.5598017,0.120728806,0.32211787,0.16310151
1,0.61592036,0.9999996,0.17714268,0.32405555,0.13688366,0.16362973,0.32195064,0.18467627,0.26238045,0.11294513,0.5534016,0.104282744,0.36475033,0.124378674
2,0.32283384,0.17714268,0.9999996,0.19016431,0.114639685,0.15798683,0.28810462,0.14471616,0.24797915,0.16941908,0.39292514,0.14309876,0.019631708,0.08708183
3,0.35626575,0.32405555,0.19016431,0.99999934,0.2481281,0.18266715,0.22023909,0.07004941,0.26551902,0.1838128,0.26726922,0.2457839,0.18053015,0.17996766
4,0.19500947,0.13688366,0.114639685,0.2481281,0.99999976,0.006201101,0.1415264,0.021594241,0.09488378,0.07971745,0.10786829,0.1148733,0.1982225,0.08128783
5,0.089621566,0.16362973,0.15798683,0.18266715,0.006201101,1.0000011,0.18493041,0.0897899,0.25275508,0.14910041,0.33189347,0.24709052,0.11771987,0.13238095
6,0.32256353,0.32195064,0.28810462,0.22023909,0.1415264,0.18493041,1.0000002,0.09335936,0.3820703,0.27468407,0.3887215,0.09376154,0.15433851,0.10361461
7,0.18561375,0.18467627,0.14471616,0.07004941,0.021594241,0.0897899,0.09335936,1.0000005,0.06991129,0.050884172,0.20615068,0.09456946,0.22380646,0.037840217
8,0.19150439,0.26238045,0.24797915,0.26551902,0.09488378,0.25275508,0.3820703,0.06991129,1.0000006,0.24161501,0.41629228,0.114408754,0.1742477,0.09493175
9,0.2117405,0.11294513,0.16941908,0.1838128,0.07971745,0.14910041,0.27468407,0.050884172,0.24161501,1.0000001,0.3111189,0.113382965,0.08650036,0.14187114
10,0.5598017,0.5534016,0.39292514,0.26726922,0.10786829,0.33189347,0.3887215,0.20615068,0.41629228,0.3111189,0.99999976,0.20945582,0.23495764,0.24246727
11,0.120728806,0.104282744,0.14309876,0.2457839,0.1148733,0.24709052,0.09376154,0.09456946,0.114408754,0.113382965,0.20945582,0.9999997,0.081986636,0.30565092
12,0.32211787,0.36475033,0.019631708,0.18053015,0.1982225,0.11771987,0.15433851,0.22380646,0.1742477,0.08650036,0.23495764,0.081986636,1.0000002,0.03783444
13,0.16310151,0.124378674,0.08708183,0.17996766,0.08128783,0.13238095,0.10361461,0.037840217,0.09493175,0.14187114,0.24246727,0.30565092,0.03783444,1.0000005
