,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1.0000001,0.52637917,0.35023797,0.102389336,0.21618578,0.39265087,0.35755983,0.41858754,0.15310988,0.30528104,0.36509296,-0.14589068,0.45698816,0.4071561
1,0.52637917,1.0000004,0.6069261,0.1490883,0.42901078,0.6321362,0.33614203,0.7012446,0.3361621,0.5582569,0.35296804,-0.019779542,0.647736,0.59435356
2,0.35023797,0.6069261,0.99999994,0.3062848,0.60845035,0.39132354,0.22148037,0.44669434,0.36885634,0.46512133,0.26661488,0.16773194,0.4559456,0.45588934
3,0.102389336,0.1490883,0.3062848,0.9999997,0.34095213,0.05269576,0.19943151,0.2657936,0.2414082,0.12528835,0.22546934,0.23730697,0.26062444,0.2450795
4,0.21618578,0.42901078,0.60845035,0.34095213,0.9999998,0.30225977,0.1723947,0.5017055,0.32916695,0.4398275,0.28999436,0.4013583,0.43006602,0.41968563
5,0.39265087,0.6321362,0.39132354,0.05269576,0.30225977,0.9999996,0.10773985,0.42541543,0.39842927,0.2924075,0.20164718,0.0773038,0.54954475,0.22140634
6,0.35755983,0.33614203,0.22148037,0.19943151,0.1723947,0.10773985,0.99999964,0.48544216,0.08787474,0.28452003,0.45929766,-0.09189391,0.21979491,0.38613474
7,0.41858754,0.7012446,0.44669434,0.2657936,0.5017055,0.42541543,0.48544216,1.0000004,0.37004033,0.37583277,0.53390676,0.13991953,0.5943149,0.54418314
8,0.15310988,0.3361621,0.36885634,0.2414082,0.32916695,0.39842927,0.08787474,0.37004033,0.99999994,0.123080574,0.25981152,0.21745303,0.43696046,0.21580485
9,0.30528104,0.5582569,0.46512133,0.12528835,0.4398275,0.2924075,0.28452003,0.37583277,0.123080574,1.0000004,0.26480052,0.046636846,0.3461149,0.43290842
10,0.36509296,0.35296804,0.26661488,0.22546934,0.28999436,0.20164718,0.45929766,0.53390676,0.25981152,0.26480052,0.9999989,-0.004226633,0.25014037,0.3777036
11,-0.14589068,-0.019779542,0.16773194,0.23730697,0.4013583,0.0773038,-0.09189391,0.13991953,0.21745303,0.046636846,-0.004226633,1.0000002,0.061890673,-0.071640335
12,0.45698816,0.647736,0.4559456,0.26062444,0.43006602,0.54954475,0.21979491,0.5943149,0.43696046,0.3461149,0.25014037,0.061890673,0.99999934,0.31981546
13,0.4071561,0.59435356,0.45588934,0.2450795,0.41968563,0.22140634,0.38613474,0.54418314,0.21580485,0.43290842,0.3777036,-0.071640335,0.31981546,0.99999964
