,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.99999964,0.49193344,0.15637167,0.6630736,0.17509212,0.73421144,0.5072099,-0.025629425,0.53647816,0.6937983,0.5025632,0.46334317,0.257045,0.63467747,0.6636131
1,0.49193344,1.0000004,0.23001815,0.34856954,0.20162736,0.500774,0.29894856,-0.044508193,0.465735,0.40893322,0.30228427,0.24070719,0.300019,0.36170742,0.52866334
2,0.15637167,0.23001815,1.0000007,0.2376832,0.39522335,0.3201509,0.44664457,0.16004978,0.13759366,0.26580408,0.4009801,0.1675903,0.18643792,0.17707315,0.41551533
3,0.6630736,0.34856954,0.2376832,0.9999999,0.25151116,0.5276544,0.5450971,0.050464213,0.49193034,0.50540197,0.42676428,0.46576294,0.32863328,0.4635603,0.5392965
4,0.17509212,0.20162736,0.39522335,0.25151116,0.9999998,0.41426784,0.32936162,0.13825174,0.21274826,0.3895254,0.40487796,0.33379033,0.11706715,0.23221025,0.35020167
5,0.73421144,0.500774,0.3201509,0.5276544,0.41426784,1.0000004,0.5786246,0.06851366,0.49198472,0.7291608,0.6124498,0.41057396,0.24179648,0.6208911,0.70837957
6,0.5072099,0.29894856,0.44664457,0.5450971,0.32936162,0.5786246,1.0000006,0.33012846,0.4574511,0.63627046,0.51096106,0.4433544,0.32831845,0.64006937,0.5140106
7,-0.025629425,-0.044508193,0.16004978,0.050464213,0.13825174,0.06851366,0.33012846,1.0000001,0.12855114,0.2443686,0.14277942,0.16804126,0.072883,0.28542405,-0.13209632
8,0.53647816,0.465735,0.13759366,0.49193034,0.21274826,0.49198472,0.4574511,0.12855114,0.99999934,0.5633469,0.4548169,0.22871129,0.36562023,0.45018587,0.49957222
9,0.6937983,0.40893322,0.26580408,0.50540197,0.3895254,0.7291608,0.63627046,0.2443686,0.5633469,1,0.61870813,0.5632453,0.28964913,0.73969275,0.5886873
10,0.5025632,0.30228427,0.4009801,0.42676428,0.40487796,0.6124498,0.51096106,0.14277942,0.4548169,0.61870813,1.0000001,0.27992734,0.18238503,0.5303036,0.60907
11,0.46334317,0.24070719,0.1675903,0.46576294,0.33379033,0.41057396,0.4433544,0.16804126,0.22871129,0.5632453,0.27992734,0.99999976,0.24629492,0.52274716,0.3829353
12,0.257045,0.300019,0.18643792,0.32863328,0.11706715,0.24179648,0.32831845,0.072883,0.36562023,0.28964913,0.18238503,0.24629492,0.9999992,0.28950572,0.34950796
13,0.63467747,0.36170742,0.17707315,0.4635603,0.23221025,0.6208911,0.64006937,0.28542405,0.45018587,0.73969275,0.5303036,0.52274716,0.28950572,0.99999934,0.51339114
14,0.6636131,0.52866334,0.41551533,0.5392965,0.35020167,0.70837957,0.5140106,-0.13209632,0.49957222,0.5886873,0.60907,0.3829353,0.34950796,0.51339114,1.0000004
